sample_index,elapsed_seconds,timestamp,raw_adc
0,0.016000,2026-09-08T10:50:52.894+08:00,2043
1,0.047000,2026-09-08T10:50:52.925+08:00,2043
2,0.078000,2026-09-08T10:50:52.956+08:00,2043
3,0.094000,2026-09-08T10:50:52.972+08:00,2044
4,0.125000,2026-09-08T10:50:53.003+08:00,2040
5,0.157000,2026-09-08T10:50:53.035+08:00,2041
6,0.172000,2026-09-08T10:50:53.050+08:00,2039
7,0.203000,2026-09-08T10:50:53.081+08:00,2039
8,0.235000,2026-09-08T10:50:53.113+08:00,2038
9,0.250000,2026-09-08T10:50:53.128+08:00,2040
10,0.282000,2026-09-08T10:50:53.160+08:00,2042
11,0.313000,2026-09-08T10:50:53.191+08:00,2044
12,0.328000,2026-09-08T10:50:53.206+08:00,2043
13,0.360000,2026-09-08T10:50:53.238+08:00,2048
14,0.391000,2026-09-08T10:50:53.269+08:00,2044
15,0.407000,2026-09-08T10:50:53.285+08:00,2050
16,0.438000,2026-09-08T10:50:53.316+08:00,2045
17,30.469000,2026-09-08T10:51:23.347+08:00,2050
18,30.500000,2026-09-08T10:51:23.378+08:00,2045
19,30.516000,2026-09-08T10:51:23.394+08:00,2052
20,30.547000,2026-09-08T10:51:23.425+08:00,2044
21,30.578000,2026-09-08T10:51:23.456+08:00,2054
22,30.594000,2026-09-08T10:51:23.472+08:00,2045
23,30.625000,2026-09-08T10:51:23.503+08:00,2048
24,30.641000,2026-09-08T10:51:23.519+08:00,2042
25,30.703000,2026-09-08T10:51:23.581+08:00,2044
26,30.735000,2026-09-08T10:51:23.613+08:00,2044
27,30.750000,2026-09-08T10:51:23.628+08:00,2047
28,30.782000,2026-09-08T10:51:23.660+08:00,2047
29,30.797000,2026-09-08T10:51:23.675+08:00,2048
30,30.828000,2026-09-08T10:51:23.706+08:00,2047
31,30.860000,2026-09-08T10:51:23.738+08:00,2052
32,30.891000,2026-09-08T10:51:23.769+08:00,2048
33,30.907000,2026-09-08T10:51:23.785+08:00,2049
34,30.938000,2026-09-08T10:51:23.816+08:00,2048
35,30.969000,2026-09-08T10:51:23.847+08:00,2053
36,30.985000,2026-09-08T10:51:23.863+08:00,2050
37,31.016000,2026-09-08T10:51:23.894+08:00,2050
38,31.063000,2026-09-08T10:51:23.941+08:00,2051
39,31.094000,2026-09-08T10:51:23.972+08:00,2051
40,31.110000,2026-09-08T10:51:23.988+08:00,2044
41,31.141000,2026-09-08T10:51:24.019+08:00,2047
42,31.172000,2026-09-08T10:51:24.050+08:00,2045
43,31.188000,2026-09-08T10:51:24.066+08:00,2045
44,31.219000,2026-09-08T10:51:24.097+08:00,2044
45,31.250000,2026-09-08T10:51:24.128+08:00,2044
46,31.266000,2026-09-08T10:51:24.144+08:00,2046
47,31.297000,2026-09-08T10:51:24.175+08:00,2047
48,31.328000,2026-09-08T10:51:24.206+08:00,2049
49,31.344000,2026-09-08T10:51:24.222+08:00,2044
50,31.375000,2026-09-08T10:51:24.253+08:00,2049
51,31.407000,2026-09-08T10:51:24.285+08:00,2040
52,31.422000,2026-09-08T10:51:24.300+08:00,2049
53,31.453000,2026-09-08T10:51:24.331+08:00,2049
54,31.485000,2026-09-08T10:51:24.363+08:00,2049
55,31.500000,2026-09-08T10:51:24.378+08:00,2049
56,31.532000,2026-09-08T10:51:24.410+08:00,2048
57,31.563000,2026-09-08T10:51:24.441+08:00,2047
58,31.578000,2026-09-08T10:51:24.456+08:00,2050
59,31.610000,2026-09-08T10:51:24.488+08:00,2037
60,31.641000,2026-09-08T10:51:24.519+08:00,2048
61,31.657000,2026-09-08T10:51:24.535+08:00,2042
62,31.688000,2026-09-08T10:51:24.566+08:00,2047
63,31.719000,2026-09-08T10:51:24.597+08:00,2044
64,31.735000,2026-09-08T10:51:24.613+08:00,2047
65,31.766000,2026-09-08T10:51:24.644+08:00,2045
66,31.797000,2026-09-08T10:51:24.675+08:00,2046
67,31.813000,2026-09-08T10:51:24.691+08:00,2049
68,31.844000,2026-09-08T10:51:24.722+08:00,2046
69,31.875000,2026-09-08T10:51:24.753+08:00,2052
70,31.891000,2026-09-08T10:51:24.769+08:00,2051
